Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
AT1G55910.1	1	2	0	0	37251168	31544475.79	0	0	0	0	37251168	31544475.79	0	0
AT1G55930.1	1	1	0	5258331.13	11424667	0	0	0	0	5258331.13	0	0	0	0
AT1G56000.1	7	13	38461543.473	150155426.45	148164595	188192644.03	657400473.63	509624594.773	0	0	70445748	70185633.31	558114376.19	213377373.53
AT1G56050.1	10	31	765172804.65	243525208.95	571119812	797124032.75	1359164796.2	1012109210.64	405891738.2	101869112.66	519690028	326191086.4	1047711384.98	644315693.81
AT1G56070.1	63	193	1226946629.109	863205494.687	34507437002	31323057901.4	10853287239.293	12379081682.823	76443808.629	214393243.16	27718254836	23660233452.7	8774662065.003	10695466372.053
AT1G56110.1	4	7	25389658.169	27217707.728	536285968	673406724.17	59078029.92	0	0	0	165660880	673406724.17	0	0
AT1G56130.1	1	1	0	0	43924904	0	73910215.36	47656796.85	0	0	43924904	0	0	0
AT1G56180.1	1	1	15381045.74	18089807.51	55914460	19461721.67	15904753.72	0	0	0	0	19461721.67	0	0
AT1G56190.1	11	44	3693140248.13	892632229.77	4025025398.25	4054667593.962	242466445.36	258092315.02	3693140248.13	811455258.22	2871408630.25	3458317648.162	0	0
AT1G56200.1	1	3	71232908.16	46830899.79	44629135.5	48551695.87	0	0	71232908.16	46830899.79	0	0	0	0
AT1G56330.1	1	2	7297100.037	0	10997989	238218994.5	45615855.51	0	0	0	0	238218994.5	0	0
AT1G56340.1	11	25	17313906.069	70129040.452	2776381320	2129652857.9	329030402.713	409723285.4	6700586.539	21188924.13	2555926136	1814476505.6	193033409.89	224135066.93
AT1G56450.1	5	9	0	93123959.46	306423704	313213499.52	30497054.54	0	0	0	306423704	206014874.72	0	0
AT1G56500.1	45	112	6734292562.606	8749425947.54	3888969801	3456504634.521	578397521.458	549491805.333	5050304281.97	7244515360.32	1942982469	1725605572.316	0	0
AT1G56560.1	11	22	11234121683.99	21863239047.657	5663730855.5	7199306517.89	3035710670.52	2930349981.27	0	0	0	0	2698960745.25	2683965324.75
