"Master Protein Accessions","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2"
"AT2G39190.1",1,4,0,0,0,0
"AT2G39290.1",2,1,0,0,0,0
"AT2G39330.1",6,4,2,3,0,0
"AT2G39390.1",1,2,0,0,2,1
"AT2G39460.1",1,3,8,5,9,8
"AT2G39470.1",15,11,1,0,10,10
"AT2G39670.1",2,0,0,0,0,0
"AT2G39730.1",191,86,61,58,132,138
"AT2G39800.1",3,0,8,8,12,8
"AT2G39930.1",3,3,0,0,1,2
"AT2G40100.1",4,5,2,3,4,9
"AT2G40300.1",8,6,0,0,3,3
"AT2G40490.1",22,10,0,0,13,10
"AT2G41040.1",4,5,0,0,0,1
"AT2G41220.1",6,8,0,0,3,2
"AT2G41680.1",16,3,0,0,11,12
"AT2G41840.1",1,0,7,2,5,6
"AT2G41950.1",4,0,0,0,1,2
"AT2G42070.1",1,0,0,0,0,0
"AT2G42130.1",8,10,0,0,6,6
"AT2G42220.1",10,16,1,0,4,7
"AT2G42530.1",7,8,2,1,8,9
"AT2G42540.1",6,5,5,4,5,5
"AT2G42710.1",1,0,15,10,0,0
"AT2G42740.1",1,1,7,5,9,8
"AT2G42975.1",1,4,0,0,0,1
"AT2G43030.1",16,11,3,2,12,10
"AT2G43090.1",8,5,0,0,5,3
"AT2G43180.1",4,2,0,0,2,6
"AT2G43200.1",2,0,0,0,0,0
"AT2G43235.1",1,1,0,1,1,1
"AT2G43530.1",1,0,1,2,0,0
"AT2G43560.1",9,14,0,0,8,8
"AT2G43630.1",6,2,1,1,0,1
"AT2G43710.1",9,4,0,0,6,7
"AT2G43750.1",27,19,0,0,19,17
"AT2G43945.1",6,4,0,0,5,4
"AT2G43950.1",6,4,0,1,4,3
"AT2G44040.1",5,0,0,0,0,0
"AT2G44050.1",5,6,0,0,4,3
"AT2G44060.1",1,0,7,2,12,9
"AT2G44100.1",1,0,2,2,3,5
"AT2G44530.1",2,4,0,0,0,0
"AT2G44640.1",15,10,4,3,9,10
"AT2G44650.1",6,2,0,0,5,5
"AT2G44760.1",8,0,0,0,3,0
"AT2G44870.1",1,4,0,0,0,1
"AT2G44890.1",1,0,0,0,0,0
"AT2G44920.1",4,3,0,0,3,4
"AT2G45290.1",3,2,0,0,1,1
"AT2G45300.1",5,1,0,0,2,1
"AT2G45740.1",1,0,4,4,3,1
"AT2G45770.1",5,2,1,0,3,2
"AT2G45990.1",8,6,0,0,7,10
"AT2G46090.1",1,2,0,0,0,0
"AT2G46100.1",2,2,0,0,2,0
"AT2G46220.1",1,2,0,0,0,0
"AT2G46310.1",1,1,0,0,1,1
"AT2G46820.1",9,9,5,4,10,6
"AT2G46910.1",3,2,0,0,0,1
"AT2G47390.1",22,10,9,10,21,20
"AT2G47400.1",4,6,2,0,5,5
"AT2G47450.1",14,4,0,0,8,2
"AT2G47610.1",2,1,2,1,5,3
"AT2G47730.1",10,5,5,2,27,10
"AT2G47750.1",1,0,0,1,0,0
"AT2G47840.1",3,2,1,0,2,2
"AT2G47910.1",4,0,0,0,3,4
"AT2G47940.1",14,5,0,0,9,6
"AT2G48070.1",4,2,0,0,2,1
"AT3G01060.1",7,11,0,0,4,4
"AT3G01120.1",7,4,0,0,5,2
"AT3G01180.1",5,7,0,0,0,0
"AT3G01280.1",2,3,46,34,12,10
"AT3G01390.1",1,2,9,10,6,7
"AT3G01440.1",8,6,0,0,4,4
"AT3G01480.1",34,39,0,0,23,21
"AT3G01500.1",18,6,8,6,15,15
"AT3G01510.1",15,7,0,0,8,7
"AT3G01660.1",7,2,0,0,1,5
"AT3G01770.1",1,1,0,0,0,0
"AT3G02080.1",1,1,3,0,4,3
"AT3G02090.1",6,6,82,75,23,30
"AT3G02450.1",1,1,0,0,0,0
"AT3G02630.1",4,3,0,0,0,0
"AT3G02660.1",4,0,2,4,3,5
"AT3G02730.1",4,2,1,0,4,4
"AT3G02780.1",2,0,2,3,2,1
"AT3G02900.1",1,0,0,0,1,0
"AT3G03100.1",1,0,37,29,7,8
"AT3G03620.1",1,0,0,0,1,0
"AT3G03630.1",2,0,0,0,0,0
"AT3G03690.1",1,0,0,0,0,0
"AT3G03710.1",22,5,0,0,15,9
"AT3G03890.1",3,4,0,0,1,1
"AT3G04260.1",8,8,0,0,0,1
"AT3G04340.1",3,3,0,0,0,0
"AT3G04400.1",3,1,8,6,3,3
"AT3G04550.1",9,2,0,0,4,2
"AT3G04650.1",3,0,0,0,0,0
"AT3G04760.1",1,1,0,0,1,0
"AT3G04770.1",1,0,0,0,0,0
"AT3G04790.1",17,10,1,0,14,15
"AT3G04870.1",14,11,0,0,5,9
"AT3G05270.1",1,0,0,0,0,0
"AT3G05350.1",7,1,3,3,6,6
"AT3G05530.1",1,0,1,0,7,6
"AT3G05560.1",1,1,2,1,2,1
"AT3G05590.1",3,3,4,0,1,0
"AT3G05625.1",1,1,0,0,2,2
"AT3G06050.1",1,1,44,38,6,9
"AT3G06200.1",2,0,1,2,1,1
"AT3G06350.1",9,7,0,0,8,7
"AT3G06430.1",2,0,0,0,0,0
"AT3G06510.1",19,15,8,3,11,15
"AT3G06730.1",1,4,1,0,0,0
"AT3G06860.1",1,1,17,11,6,3
"AT3G06960.1",1,0,0,0,0,0
"AT3G06980.1",1,0,0,0,0,0
"AT3G07390.1",3,2,3,2,5,5
"AT3G07630.1",3,0,0,0,0,0
"AT3G07670.1",3,0,0,0,0,1
"AT3G08010.1",6,4,0,0,1,2
"AT3G08580.1",23,22,99,78,15,13
"AT3G08590.1",1,0,1,0,13,10
"AT3G08640.1",3,3,0,0,2,1
"AT3G08740.1",6,4,1,0,9,7
"AT3G08920.1",9,10,0,0,2,4
"AT3G08940.1",12,13,3,0,5,6
"AT3G09050.1",5,9,0,0,3,4
"AT3G09150.1",1,0,0,0,2,1
"AT3G09210.1",3,2,0,0,0,0
"AT3G09250.1",2,0,0,0,0,0
"AT3G09580.1",5,7,0,0,1,4
"AT3G09630.1",1,0,6,4,10,10
"AT3G09820.1",2,1,8,2,3,4
"AT3G09860.1",1,1,0,0,0,0
"AT3G09900.1",2,0,0,0,0,0
"AT3G10050.1",1,0,0,0,0,0
"AT3G10060.1",10,14,3,1,8,6
"AT3G10130.1",7,17,0,0,0,1
"AT3G10270.1",3,4,0,1,0,0
"AT3G10350.1",5,3,1,0,1,1
"AT3G10405.1",1,0,0,0,1,0
"AT3G10420.1",1,0,0,0,0,0
"AT3G10520.1",1,0,0,0,6,5
"AT3G10620.1",1,0,0,0,0,2
"AT3G10670.1",8,2,0,0,5,4
"AT3G10690.1",10,10,15,17,2,2
"AT3G10710.1",1,0,0,0,0,0
"AT3G10840.1",4,2,0,0,0,3
"AT3G10920.1",3,1,45,34,14,12
"AT3G10940.1",4,1,0,0,2,4
"AT3G11130.1",2,3,5,5,7,7
"AT3G11170.1",5,0,0,0,1,0
"AT3G11250.1",1,5,0,0,1,2
"AT3G11510.1",5,0,0,1,2,1
"AT3G11560.1",2,3,0,0,2,0
"AT3G11630.1",9,5,3,0,5,7
"AT3G11945.1",2,1,1,0,1,3
"AT3G12080.1",2,0,0,0,0,0
"AT3G12345.1",2,3,0,0,6,4
"AT3G12685.1",1,1,0,0,0,0
"AT3G12780.1",39,26,15,8,35,44
"AT3G13070.1",5,1,0,0,2,1
"AT3G13120.1",4,4,2,0,2,2
"AT3G13470.1",15,3,0,0,6,4
"AT3G13490.1",3,0,9,2,2,0
"AT3G13800.1",2,1,2,2,0,3
"AT3G14110.1",12,12,0,1,5,5
"AT3G14210.1",16,15,38,36,37,42
"AT3G14270.1",1,0,0,0,0,0
"AT3G14310.1",10,19,2,0,27,27
"AT3G14390.1",1,0,0,0,1,1
"AT3G14415.1",3,2,18,10,16,10
"AT3G14420.1",3,6,29,17,19,20
"AT3G14900.1",1,0,0,0,0,0
"AT3G14930.1",9,3,0,0,11,5
"AT3G14940.1",1,0,0,1,0,0
"AT3G15000.1",1,0,11,7,3,1
"AT3G15110.1",3,3,0,0,1,0
"AT3G15190.1",11,8,2,1,4,4
"AT3G15360.1",8,6,1,1,8,10
"AT3G15520.1",18,23,0,0,13,11
"AT3G15840.1",6,3,0,0,3,2
"AT3G15900.1",1,1,0,0,1,1
"AT3G16000.1",31,45,0,0,18,15
"AT3G16140.1",9,38,9,6,14,12
"AT3G16250.1",2,1,0,0,2,2
"AT3G16290.1",4,3,0,0,0,1
"AT3G16410.1",1,0,0,0,0,0
"AT3G16470.1",8,9,16,14,11,7
"AT3G16890.1",1,0,0,0,0,0
"AT3G16950.1",5,4,2,2,0,1
"AT3G17020.1",1,1,0,0,4,6
"AT3G17040.1",3,0,0,0,0,0
"AT3G17170.1",4,0,0,0,0,0
"AT3G17240.1",1,0,46,37,12,11
"AT3G17810.1",17,11,0,0,7,8
"AT3G17930.1",6,8,0,0,1,3
"AT3G17970.1",7,4,4,4,5,7
"AT3G18080.1",7,25,0,0,16,15
"AT3G18270.1",3,0,0,0,1,0
"AT3G18390.1",4,0,0,0,0,0
"AT3G18420.1",2,2,0,0,2,2
"AT3G18500.1",2,1,0,0,0,2
"AT3G18680.1",2,0,0,0,0,0
"AT3G18890.1",34,38,4,1,19,18
"AT3G19170.1",33,24,11,5,33,24
"AT3G19480.1",10,6,0,0,7,6
"AT3G19490.1",3,3,0,0,1,0
"AT3G19515.2",1,0,0,0,0,0
"AT3G19720.1",1,0,0,0,0,0
"AT3G19810.1",4,0,0,0,0,0
"AT3G19840.1",2,0,0,0,0,0
"AT3G19900.1",1,0,0,0,0,1
"AT3G20230.1",1,0,0,0,0,0
"AT3G20320.1",12,11,0,1,2,3
"AT3G20330.1",16,10,0,0,8,9
"AT3G20390.1",13,8,15,13,10,11
"AT3G20440.1",1,0,0,0,1,0
"AT3G20680.1",4,1,0,0,2,1
"AT3G21055.1",4,2,2,1,2,2
"AT3G21110.1",5,2,0,0,4,2
"AT3G21140.1",3,2,0,0,1,1
"AT3G21200.1",4,0,0,0,2,0
"AT3G22060.1",2,1,5,6,4,3
"AT3G22210.1",1,1,0,0,1,1
"AT3G22830.1",1,0,0,0,0,0
"AT3G22890.1",7,9,0,0,8,3
"AT3G22960.1",20,5,0,0,11,6
"AT3G23400.1",20,35,6,8,13,15
"AT3G23640.1",2,0,0,0,1,4
"AT3G23700.1",15,4,0,0,9,6
"AT3G23710.1",3,0,0,0,0,0
"AT3G23940.1",23,13,0,0,15,12
"AT3G24190.1",2,6,0,0,0,1
"AT3G24430.1",7,2,0,0,4,5
"AT3G24480.1",1,1,0,0,0,0
"AT3G24590.1",8,7,0,0,3,4
"AT3G24830.1",3,2,6,4,6,5
"AT3G25480.1",4,5,0,0,1,1
"AT3G25520.1",2,2,1,2,2,19
"AT3G25660.1",7,2,6,7,6,3
"AT3G25680.1",4,2,0,0,1,1
"AT3G25690.1",5,1,1,0,5,5
"AT3G25760.1",8,12,4,5,4,3
"AT3G25770.1",11,10,3,3,6,7
"AT3G25780.1",3,3,0,0,0,0
"AT3G25805.1",3,2,0,0,0,1
"AT3G25860.1",20,13,0,2,12,7
"AT3G25920.1",10,11,5,2,10,9
"AT3G26060.1",19,22,16,13,15,17
"AT3G26070.1",6,8,1,0,6,7
"AT3G26080.1",1,4,0,0,1,1
"AT3G26085.1",2,2,0,0,0,0
"AT3G26520.1",2,0,4,2,6,5
"AT3G26570.1",3,1,0,0,3,0
"AT3G26580.1",3,4,0,0,0,0
"AT3G26650.1",20,11,11,5,35,41
"AT3G26710.1",4,12,0,0,1,4
"AT3G26740.1",11,11,1,2,3,2
"AT3G26840.1",4,12,0,0,0,0
"AT3G26900.1",6,0,0,0,1,0
"AT3G27110.1",1,3,0,0,0,0
"AT3G27160.1",5,3,4,4,3,4
"AT3G27690.1",2,0,5,4,1,12
"AT3G27740.1",10,7,0,0,6,7
"AT3G27830.1",14,14,6,6,11,14
"AT3G27890.1",4,2,5,6,6,4
"AT3G27925.1",18,17,2,0,10,16
"AT3G28220.1",11,8,11,11,10,6
"AT3G28290.1",1,2,9,3,14,10
"AT3G28460.1",1,0,0,0,0,0
"AT3G28760.1",2,0,0,0,1,1
"AT3G29185.1",9,0,0,0,3,1
"AT3G29240.1",1,0,0,0,0,0
"AT3G29320.1",39,20,0,0,23,27
"AT3G29390.1",1,0,0,0,0,0
"AT3G32930.1",1,2,0,1,0,0
"AT3G43520.1",7,6,2,1,8,4
"AT3G43540.1",6,6,1,0,5,5
"AT3G44310.1",4,3,15,14,26,21
"AT3G44380.1",1,0,0,0,0,0
"AT3G44620.1",4,4,0,0,4,3
"AT3G44880.1",13,18,0,0,8,7
"AT3G44890.1",11,9,12,8,6,7
"AT3G45050.1",2,3,0,0,0,0
"AT3G45140.1",108,79,19,21,61,63
"AT3G45770.1",1,2,10,6,3,3
"AT3G46100.1",5,1,1,2,2,0
"AT3G46320.1",8,16,65,58,7,8
"AT3G46430.1",1,1,5,5,1,1
"AT3G46630.1",1,0,1,0,0,0
"AT3G46740.1",29,19,4,6,12,9
"AT3G46780.1",46,64,14,14,32,32
"AT3G46830.1",5,1,3,0,4,1
"AT3G47070.1",9,12,12,9,7,8
"AT3G47390.1",4,1,0,0,1,1
"AT3G47450.1",2,0,0,0,0,0
"AT3G47470.1",26,22,4,4,34,30
"AT3G47520.1",14,12,5,1,7,9
"AT3G47590.1",2,1,0,0,0,1
"AT3G47650.1",2,0,1,0,2,1
"AT3G47800.1",2,3,0,0,8,5
"AT3G47860.1",12,10,0,0,7,7
"AT3G48000.1",1,0,47,38,15,16
"AT3G48110.1",12,3,13,8,10,5
"AT3G48420.1",17,6,0,0,8,8
"AT3G48500.1",12,3,0,0,1,0
"AT3G48560.1",10,2,0,0,2,3
"AT3G48730.1",10,4,0,0,3,3
"AT3G48870.1",4,1,0,0,1,0
"AT3G49010.1",5,4,3,3,12,8
"AT3G49120.1",1,1,0,1,8,15
"AT3G49140.1",2,0,0,0,0,0
"AT3G49560.1",6,6,1,1,5,2
"AT3G49680.1",5,1,0,0,5,3
"AT3G49910.1",4,3,8,7,6,8
"AT3G50820.1",24,27,9,7,14,13
"AT3G51140.1",4,3,3,1,1,2
"AT3G51600.1",1,1,2,2,3,2
"AT3G51820.1",2,2,0,1,1,1
"AT3G51840.1",1,1,7,5,3,1
"AT3G52150.1",13,11,0,1,10,6
"AT3G52155.1",3,0,0,0,0,1
"AT3G52170.1",2,1,0,0,0,0
"AT3G52180.1",13,10,1,1,7,13
"AT3G52230.1",7,4,2,3,3,1
"AT3G52300.1",1,4,65,59,12,12
"AT3G52380.1",18,6,0,0,8,6
"AT3G52750.1",7,1,0,0,3,3
"AT3G52880.1",4,3,9,7,20,27
"AT3G52930.1",4,7,11,7,20,16
"AT3G52960.1",19,16,9,9,16,13
"AT3G53130.1",13,3,0,0,4,8
"AT3G53460.1",9,3,0,0,5,5
"AT3G53470.1",4,3,0,0,0,1
"AT3G53560.1",5,1,0,0,1,2
"AT3G53580.1",9,5,0,0,7,4
"AT3G53700.1",1,0,0,0,0,0
"AT3G53810.1",1,0,1,0,0,0
"AT3G53900.1",11,1,0,0,5,6
"AT3G54050.1",29,13,2,2,21,22
"AT3G54090.1",6,3,0,0,0,1
"AT3G54210.1",9,6,1,1,2,2
"AT3G54400.1",5,5,4,4,4,5
"AT3G54640.1",11,6,0,0,3,3
"AT3G54660.1",20,10,13,6,12,19
"AT3G54850.1",1,1,1,1,0,2
"AT3G54890.1",11,16,11,9,4,13
"AT3G54900.1",2,2,1,0,1,1
"AT3G55010.1",6,5,0,0,3,4
"AT3G55040.1",8,3,0,0,7,7
"AT3G55250.1",12,6,0,0,4,2
"AT3G55330.1",8,10,2,2,11,9
"AT3G55400.1",10,0,5,4,3,2
"AT3G55440.1",1,3,6,5,23,19
"AT3G55760.1",11,24,0,0,8,7
"AT3G55800.1",35,20,5,2,27,30
"AT3G56010.1",3,6,0,0,0,1
"AT3G56090.1",6,2,0,0,1,2
"AT3G56130.1",8,2,0,0,2,1
"AT3G56140.1",7,7,0,0,1,1
"AT3G56160.1",1,0,0,0,1,1
"AT3G56650.1",9,12,3,0,8,9
"AT3G56910.1",3,3,1,1,3,2
"AT3G56940.1",20,12,1,0,7,3
"AT3G57050.1",12,8,0,0,6,7
"AT3G57090.1",1,1,2,0,2,3
"AT3G57180.1",2,0,0,0,0,0
"AT3G57260.1",1,2,4,1,15,1
"AT3G57280.1",4,3,1,1,3,3
"AT3G57420.1",1,0,0,0,0,0
"AT3G57560.1",5,5,0,0,5,3
"AT3G57610.1",17,16,0,0,12,10
"AT3G58010.1",9,9,0,0,5,4
"AT3G58140.1",15,4,8,10,11,12
"AT3G58610.1",36,13,0,0,20,12
"AT3G58830.1",1,1,0,0,0,0
"AT3G58990.1",1,1,0,0,0,0
"AT3G59040.1",2,0,0,0,0,0
"AT3G59400.1",3,0,0,0,0,0
"AT3G59760.1",2,4,26,23,5,7
"AT3G59780.1",33,46,3,1,23,20
"AT3G59840.1",2,1,0,0,0,1
"AT3G59920.1",1,0,0,0,4,2
"AT3G59980.1",2,0,5,6,3,5
"AT3G60370.1",9,11,0,0,3,2
"AT3G60440.1",1,0,0,2,0,2
"AT3G60590.1",1,0,0,0,0,0
"AT3G60620.1",1,0,0,0,0,0
"AT3G60750.1",84,42,21,14,80,83
"AT3G60770.1",1,0,1,1,0,0
"AT3G60810.1",3,7,0,0,0,1
"AT3G60880.1",5,1,0,0,0,0
"AT3G61080.1",1,2,0,0,1,1
"AT3G61440.1",2,4,109,87,19,17
"AT3G61470.1",14,14,1,1,10,10
"AT3G61540.1",2,0,1,1,4,4
"AT3G61870.1",9,11,1,1,8,7
"AT3G62030.1",26,11,2,3,32,32
"AT3G62410.1",7,2,1,0,4,6
"AT3G62530.1",4,1,25,21,2,5
"AT3G62910.1",6,0,0,0,2,2
"AT3G63140.1",34,21,3,3,21,22
"AT3G63160.1",6,6,15,10,7,7
"AT3G63170.1",6,6,1,0,8,7
"AT3G63190.1",19,22,4,1,15,13
"AT3G63410.1",11,8,5,5,9,13
"AT3G63490.1",32,22,1,0,21,22
"AT3G63500.1",1,0,0,0,0,0
"AT3G63540.1",11,6,0,0,6,5
"AT4G00030.1",2,3,0,0,2,1
"AT4G00290.1",1,0,5,6,2,2
"AT4G00370.1",1,0,0,0,2,0
"AT4G00430.1",13,0,1,1,1,1
"AT4G00490.1",16,6,0,0,13,12
"AT4G00620.1",8,2,0,0,5,5
"AT4G00630.1",5,2,0,0,1,2
"AT4G01037.1",5,2,0,0,0,0
"AT4G01050.1",14,24,7,2,10,12
"AT4G01150.1",13,17,5,6,19,13
"AT4G01310.1",24,13,1,1,18,13
"AT4G01690.1",24,26,0,0,11,5
"AT4G01800.1",37,17,1,0,16,13
"AT4G01883.1",4,2,1,0,2,1
"AT4G01900.1",9,7,0,0,7,8
"AT4G01935.1",1,1,0,0,0,0
"AT4G01940.1",1,1,0,0,1,1
"AT4G02405.1",1,0,0,0,0,0
"AT4G02510.1",47,26,6,2,23,25
"AT4G02520.1",10,11,15,14,21,15
"AT4G02530.1",8,15,5,4,6,7
"AT4G02620.1",2,2,5,3,2,3
"AT4G02725.1",1,2,0,0,0,2
"AT4G02770.1",3,3,30,30,0,0
"AT4G02930.1",1,0,53,38,12,10
"AT4G02990.1",1,0,0,0,0,0
"AT4G03150.1",1,0,0,0,0,1
"AT4G03280.1",15,20,4,5,8,10
"AT4G03520.1",8,6,0,0,6,9
"AT4G04020.1",15,20,3,0,13,16
"AT4G04350.1",5,1,0,0,5,2
"AT4G04640.1",60,77,19,15,32,38
"AT4G04770.1",9,2,1,1,1,3
"AT4G04850.1",3,2,0,0,1,1
"AT4G05090.1",3,1,0,0,0,2
"AT4G05180.1",20,27,35,28,28,25
"AT4G05390.1",5,0,0,0,7,2
"AT4G08280.1",1,0,3,1,2,0
"AT4G08390.1",6,5,18,16,4,8
"AT4G08870.1",1,2,38,36,7,12
"AT4G09010.1",35,42,10,8,19,22
"AT4G09020.1",13,4,0,0,7,16
"AT4G09040.1",10,4,0,0,3,4
"AT4G09320.1",2,2,8,7,17,12
"AT4G09350.1",1,6,0,0,0,0
"AT4G09620.1",4,0,0,0,0,0
"AT4G09650.1",39,86,12,8,36,39
"AT4G09730.1",1,0,0,0,1,0
"AT4G09800.1",1,1,6,7,9,8
"AT4G10000.1",6,12,0,0,2,3
"AT4G10030.1",2,0,0,0,0,0
"AT4G10300.1",5,2,0,0,4,3
"AT4G10340.1",75,88,27,22,37,38
"AT4G10750.1",6,3,0,0,1,2
"AT4G11010.1",1,2,28,19,8,9
"AT4G11175.1",3,2,0,0,1,0
"AT4G11320.1",2,0,0,2,0,0
"AT4G11890.1",1,1,0,0,0,0
"AT4G11960.1",7,7,0,0,3,3
"AT4G11980.1",1,2,0,1,0,1
"AT4G12060.1",9,3,0,0,4,4
"AT4G12800.1",33,25,4,3,20,13
"AT4G12830.1",5,5,0,0,0,3
"AT4G12880.1",1,0,1,0,2,3
"AT4G13010.1",5,7,9,3,6,7
"AT4G13050.1",2,0,0,0,1,0
"AT4G13200.1",6,9,0,0,3,2
"AT4G13220.1",6,5,0,0,0,0
"AT4G13250.1",1,0,0,0,0,0
"AT4G13340.1",1,1,0,0,0,0
"AT4G13360.1",3,1,15,9,6,5
"AT4G13430.1",19,9,0,0,10,8
"AT4G13500.1",1,0,0,0,2,1
"AT4G13550.1",4,4,0,0,4,2
"AT4G13670.1",7,6,0,0,2,3
"AT4G13940.1",7,6,8,20,5,9
"AT4G14070.1",20,13,1,0,7,8
"AT4G14210.1",18,21,0,0,13,8
"AT4G14570.1",1,0,0,0,6,9
"AT4G14605.1",1,0,0,0,0,0
"AT4G14680.1",2,0,0,0,0,0
"AT4G14870.1",6,8,0,0,3,3
"AT4G14890.1",4,1,0,0,4,3
"AT4G15110.1",13,10,0,0,13,10
"AT4G15510.1",9,12,1,0,8,7
"AT4G15530.1",18,17,1,0,13,16
"AT4G15560.1",7,5,0,0,2,0
"AT4G16060.1",5,3,0,0,2,3
"AT4G16155.1",8,6,0,0,23,3
"AT4G16390.1",10,1,0,0,3,0
"AT4G16500.1",1,2,0,0,5,8
"AT4G16720.1",1,1,4,6,6,5
"AT4G17040.1",6,5,0,0,5,5
"AT4G17140.1",1,1,22,19,2,0
"AT4G17170.1",1,3,4,4,8,6
"AT4G17210.1",2,2,0,0,0,0
"AT4G17300.1",7,1,3,5,7,2
"AT4G17560.1",3,1,0,0,2,1
"AT4G17600.1",11,13,0,0,7,3
"AT4G17740.1",8,6,0,0,1,1
"AT4G18240.1",9,4,0,0,1,0
"AT4G18370.1",2,5,0,0,1,4
"AT4G18440.1",18,15,1,0,15,7
"AT4G18480.1",9,3,0,1,2,2
"AT4G18740.1",3,1,0,0,0,0
"AT4G18810.1",11,4,0,0,12,13
"AT4G19100.1",4,1,0,0,0,0
"AT4G19170.1",14,29,2,1,11,15
"AT4G19410.1",3,4,2,0,4,6
"AT4G19440.1",1,1,1,0,0,2
"AT4G19710.1",8,0,0,0,1,0
"AT4G19830.1",3,2,0,0,0,1
"AT4G20130.1",3,6,0,0,2,1
"AT4G20260.1",3,6,9,9,25,22
"AT4G20360.1",58,44,32,26,53,55
"AT4G20760.1",2,1,24,15,4,5
"AT4G20830.1",2,6,1,0,12,8
"AT4G20850.1",23,9,0,0,31,28
"AT4G20960.1",5,1,0,0,2,1
"AT4G21210.1",10,3,1,0,3,3
"AT4G21280.1",38,72,43,34,29,34
"AT4G21860.1",6,4,3,2,6,4
"AT4G22240.1",9,10,0,0,7,10
"AT4G22260.1",1,3,0,0,0,1
"AT4G22890.1",10,12,0,1,5,4
"AT4G22930.1",6,3,0,0,2,3
"AT4G23100.1",18,13,0,0,11,12
"AT4G23600.1",9,3,1,4,17,22
"AT4G23890.1",20,34,0,1,8,6
"AT4G23940.1",11,3,1,0,0,1
"AT4G24090.1",2,3,0,0,2,1
"AT4G24190.1",4,6,25,22,45,36
"AT4G24280.1",19,13,4,1,14,17
"AT4G24450.1",2,0,0,0,1,1
"AT4G24620.1",28,17,0,0,26,23
"AT4G24750.1",9,7,1,0,2,2
"AT4G24770.1",19,12,0,0,9,8
"AT4G24810.1",2,0,1,0,0,1
"AT4G24830.1",24,16,0,0,19,17
"AT4G24930.1",7,5,0,0,4,2
"AT4G25050.1",2,2,0,0,1,0
"AT4G25080.1",23,24,7,6,14,9
"AT4G25100.1",4,4,1,1,6,7
"AT4G25130.1",6,6,10,7,2,6
"AT4G25290.1",2,0,0,0,0,0
"AT4G25370.1",13,5,1,0,8,4
"AT4G25450.1",11,8,1,2,7,5
"AT4G25650.1",7,2,0,0,2,4
"AT4G25900.1",1,12,3,5,12,12
"AT4G26160.1",1,0,0,0,0,0
"AT4G26300.1",11,5,5,3,4,4
"AT4G26500.1",13,7,1,0,7,6
"AT4G26555.1",5,3,0,0,4,1
"AT4G26900.1",19,11,0,0,13,12
"AT4G26910.1",1,1,33,21,4,6
"AT4G26970.1",1,1,89,67,13,17
"AT4G27070.1",1,0,0,0,0,0
"AT4G27090.1",2,4,3,4,7,8
"AT4G27440.1",18,32,15,14,9,8
"AT4G27700.1",10,15,5,4,8,6
"AT4G27800.1",6,10,0,0,3,5
"AT4G28025.1",3,4,0,0,3,2
"AT4G28030.1",1,0,0,0,0,0
"AT4G28660.1",3,2,0,0,2,4
"AT4G28706.1",7,1,0,0,3,2
"AT4G28730.1",2,1,0,0,1,1
"AT4G28740.1",5,6,0,0,3,3
"AT4G28750.1",13,15,8,4,13,8
"AT4G29010.1",3,8,31,23,12,7
"AT4G29060.1",60,23,1,0,36,28
"AT4G29130.1",3,0,35,30,8,9
"AT4G29510.1",1,0,0,0,1,0
"AT4G29590.1",4,1,0,0,4,3
"AT4G29670.1",3,2,1,0,4,3
"AT4G29840.1",18,10,0,0,13,10
"AT4G30010.1",1,1,15,9,5,3
"AT4G30530.1",1,0,0,0,4,5
"AT4G30580.1",2,3,0,0,0,1
"AT4G30690.1",7,1,0,0,4,1
"AT4G30720.1",10,0,0,0,1,1
"AT4G30845.1",2,2,0,0,0,0
"AT4G30910.1",4,4,0,0,0,1
"AT4G30920.1",8,5,11,2,8,4
"AT4G30950.1",5,2,0,0,1,2
"AT4G31180.1",1,0,0,2,12,10
"AT4G31210.1",1,0,2,3,0,0
"AT4G31390.1",21,27,0,0,7,10
"AT4G31400.1",1,0,0,0,0,0
"AT4G31530.1",7,3,0,0,7,4
"AT4G31700.1",3,0,2,4,3,3
"AT4G31780.1",3,2,1,0,0,0
"AT4G31990.1",34,18,0,0,17,12
"AT4G32250.1",1,0,0,0,1,0
"AT4G32260.1",23,34,12,12,22,16
"AT4G32320.1",2,2,0,0,1,1
"AT4G32400.1",2,2,0,0,1,0
"AT4G32470.1",1,1,28,30,4,5
"AT4G32520.1",18,10,0,0,9,5
"AT4G32590.1",1,1,0,0,0,1
"AT4G32770.1",9,10,0,0,4,4
"AT4G32915.1",2,1,4,3,0,0
"AT4G33010.1",7,11,194,147,30,33
"AT4G33030.1",8,2,0,0,4,1
"AT4G33350.1",9,4,2,2,6,3
"AT4G33470.1",1,0,0,0,0,0
"AT4G33500.1",16,11,0,0,4,7
"AT4G33510.1",15,7,1,3,8,9
"AT4G33520.1",1,0,0,1,0,0
"AT4G33580.1",1,0,0,0,3,0
"AT4G33650.1",1,1,5,1,2,4
"AT4G33680.1",10,6,0,0,8,7
"AT4G33760.1",7,3,5,3,4,6
"AT4G34090.1",3,2,0,0,3,3
"AT4G34120.1",5,6,0,0,5,6
"AT4G34200.1",18,11,3,1,11,8
"AT4G34240.1",9,12,1,0,5,6
"AT4G34290.1",2,0,0,3,0,2
"AT4G34350.1",19,4,0,0,7,4
"AT4G34620.1",8,4,8,9,4,4
