Protein,Cp1_noPF,Cp2_noPF,Mt1_noPF,Mt2_noPF,Lf1_noPF,Lf2_noPF
AT1G79050.1,67250454.36,39793357.91,0,0,123228544,56636962.03
AT1G79080.1,16425634.09,0,0,0,0,0
AT1G79090.1,0,0,0,0,17241656,0
AT1G79230.1,155231499.2,27831221.34,13269318424,14436326814,934253872,1094988430
AT1G79280.1,0,0,110695520.2,85201664.22,12380515,17221969.68
AT1G79340.1,0,0,88336218.29,127566941.2,1182510588,1122638872
AT1G79380.1,0,0,0,0,69888560,65675877.97
AT1G79390.1,0,0,212487375.8,325668719.9,0,0
AT1G79410.1,0,0,0,0,0,321838778.5
AT1G79440.1,34249848.74,22166684.77,26550040463,24426539929,2327277832,2755820352
AT1G79500.1,0,0,0,0,83866352,0
AT1G79530.1,28758514.66,56053076.74,112536043.4,231093869.3,0,0
AT1G79550.1,17554818.25,153327801.7,417549922.5,506568883.1,5426457046,4086798329
AT1G79560.1,178860912.9,0,0,0,0,0
AT1G79590.1,0,0,0,0,13934036,0
AT1G79600.1,217604700.5,1405400170,0,0,40402244,262787355.9
AT1G79650.1,0,0,0,177916187.2,0,0
AT1G79690.1,0,0,0,0,934396572,469580958.1
AT1G79720.1,0,0,0,0,40950076,22624209.65
AT1G79750.1,0,0,2250669152,531101387.1,0,0
AT1G79790.1,151772131.6,27219941.52,0,0,80012964,229482828.2
AT1G79850.1,4389897455,1112914669,660123227,632114737.2,2417861270,1583352690
AT1G79870.1,19263211.6,0,32783471.09,41582324.53,1063738040,1542287280
AT1G79890.1,0,0,83695057.22,63650582.92,0,0
AT1G79920.1,0,0,0,0,174169828,145892797.4
AT1G79930.1,0,0,0,96948716.93,780885720,648394087.9
AT1G79940.1,0,0,0,43553150.5,0,0
AT1G80030.1,800839047.8,1406707658,37179018.5,0,492262864,257920638.1
AT1G80070.1,0,0,0,0,99424225,140173370.2
AT1G80230.1,0,0,5145135942,6130574976,61117064,366150085.6
AT1G80270.1,175317397.3,222739193.5,2471952778,3025116131,28226387.5,1810150266
AT1G80300.1,17869408.81,43141354.35,0,0,225884062,409566081.1
AT1G80310.1,0,0,0,0,0,23965294.89
AT1G80360.1,0,0,23722385.79,0,0,112424507
AT1G80380.1,4624936970,782963628.8,56706736.8,37085327.87,6536616036,6170119196
AT1G80410.1,0,0,64945074.72,0,444363472,530620803.7
AT1G80460.1,0,0,19996576.19,0,731767504,274822557.7
AT1G80480.1,1198293645,133917901.7,26933731.96,32618423.26,243006064,477572337.3
AT1G80490.1,0,0,0,0,189590516,367789579.7
AT1G80560.1,314417834.8,32489763.21,0,0,239060136,105618142.1
AT1G80600.1,1195971171,243771734.4,0,0,1875881680,2892270953
AT1G80620.1,0,0,289790525.8,200177241.1,0,0
AT1G80670.1,0,0,0,76651500.29,14762508,13575127.25
AT1G80720.1,0,0,81916301.88,53021486.34,0,0
AT1G80770.1,16549008.95,0,0,0,0,0
AT1G80890.1,0,0,949163354.6,838985048.6,0,0
AT2G01140.1,871383113.3,793693687.4,44956139.38,39613988.48,662426400,567380695.6
AT2G01220.1,0,0,39075197.02,0,0,0
AT2G01250.1,7110427.868,22583934.77,598146577.9,332739265.6,1695413797,1774546194
AT2G01270.1,0,0,91577523.76,85535379.69,0,48111724.25
AT2G01350.1,207047881.7,28077797.55,0,0,97465828,62486273.72
AT2G01460.1,0,0,0,0,31150266,0
AT2G01470.1,0,52176192.28,103224638.9,33334144.6,183625610,113599733.8
AT2G01600.1,0,0,0,0,0,26003979.97
AT2G01630.1,0,0,0,0,52004562,29264600.17
AT2G01690.1,0,0,0,0,40021040,107264875.9
AT2G01720.1,0,0,138225344.6,362273417.2,652163272,677419872.6
AT2G01755.1,0,0,0,0,26988412,55707596.21
AT2G01870.1,0,0,0,0,17862526,0
AT2G01918.1,0,0,0,0,0,72453247.76
AT2G01970.1,0,0,763725844.2,239804607.9,178187792,0
AT2G02040.1,0,0,0,0,69704902,196465539.2
AT2G02050.1,0,0,15590650050,20210113451,377242430,403861665.8
AT2G02070.1,0,0,52310116.22,0,0,0
AT2G02100.1,0,0,59218173.02,0,0,0
AT2G02390.1,0,0,0,0,218763040,180822094
AT2G02470.1,0,0,0,0,55951380,61987113.55
AT2G02500.1,202502786.8,59768261.5,0,0,209285726,320214404.7
AT2G02510.1,0,0,727338647.6,1078478001,0,0
AT2G02560.1,0,0,0,0,0,27520247.33
AT2G02730.1,0,0,13741397.63,0,0,0
AT2G02740.1,390924042,197635941.5,0,0,186905372,136628104.3
AT2G02850.1,0,0,49952455.55,62361771.2,0,104387808.8
AT2G02990.1,0,0,0,0,241428328,0
AT2G03120.1,0,0,0,0,77972561.5,0
AT2G03140.1,0,0,0,0,0,25666526.45
AT2G03390.1,22106635.03,0,0,0,215964810,139492805
AT2G03420.1,989755710.8,3197840781,0,0,618409232,674287526.4
AT2G03430.1,0,0,0,0,42556876,0
AT2G03440.1,85161666.66,24999310.19,557936654.6,614894906.6,1281308400,1015128347
AT2G03510.1,0,6903677.643,564674114.5,372007065.7,528111804,222329614.2
AT2G03550.1,0,0,0,0,87484428,124970030.8
AT2G03680.1,0,0,0,70001788.88,113372008,64428879.41
AT2G03690.1,0,0,0,46077117.55,0,0
AT2G03750.1,0,0,0,0,139788892,76179575.14
AT2G03760.1,0,0,0,0,16075319,7430709.748
AT2G03810.1,0,0,0,0,38197072,0
AT2G03870.1,0,0,0,0,0,113133403.9
AT2G03980.1,0,0,0,0,63381836,76980316.88
AT2G04030.1,4804892200,645614815.8,0,0,1972761556,3668573056
AT2G04039.1,555536180.3,231521155.5,0,0,374086716,507099901.8
AT2G04230.1,0,0,0,0,0,334948899.7
AT2G04280.1,0,0,66929015.38,92849387.99,0,0
AT2G04350.1,0,0,82481702.2,89373763.31,138579436,186093211.5
AT2G04360.1,0,0,0,0,2230890.75,6824877.49
AT2G04390.1,9605148.818,38566030.26,689866467.6,757600407.3,4849505134,4758424306
AT2G04400.1,1121862831,466093988.5,0,0,501836210,839455121.7
AT2G04450.1,0,0,0,0,388119912,0
AT2G04520.1,0,0,37336487.66,0,219927680,198531799
AT2G04540.1,0,0,1259380099,863538683.7,33697992,0
AT2G04690.1,0,0,0,0,303435142,25653886.29
AT2G04700.1,1458288901,269073598,0,0,594937216,1547358637
AT2G04780.1,0,0,43605506.43,72650108.64,159523860,97695783.97
AT2G04842.1,623305910.5,0,0,0,353785684,388374992.7
AT2G04865.1,0,0,9678212.109,41874410.45,0,0
AT2G04880.1,0,0,149013677.3,158336088.4,0,0
AT2G04900.1,0,0,129267389.8,174024340.3,0,0
AT2G04940.1,0,0,1130381288,1035133777,0,0
AT2G05070.1,29004620.42,0,0,0,0,0
AT2G05310.1,495517680,1574022867,40951645.7,0,262545536,405723807.3
AT2G05380.1,4711972.07,19767928.87,2779898528,2420664060,4070606.719,199975618.2
AT2G05520.1,139998375.6,95409034.39,6133644646,1024024003,195636224,315444938.2
AT2G05620.1,1694715943,3749265620,208442991.6,231625456.6,0,1259784435
AT2G05710.1,637567873.9,380485729.6,68078916988,55058404792,3499549311,10786855656
AT2G05830.1,0,0,0,0,164941584,305135059.7
AT2G05840.1,0,0,37598474.04,0,267779916,358979997.4
AT2G05900.1,0,0,0,0,86089200,0
AT2G05920.1,0,0,19451684.46,0,402709160,160499340.4
AT2G05990.1,3787137409,1517065691,347132517.8,235341697.8,4601842534,3521326696
AT2G06050.1,0,0,358472789.2,374022530.4,699752832,394778265.1
AT2G06530.1,0,0,0,273992394.6,246233801,42079405.63
AT2G06850.1,133942348.7,173707557.1,313702095.1,307253173.2,3756005236,901045038.2
AT2G07050.1,0,0,137074681.6,96897686.94,125398330,139597241.7
AT2G07190.1,0,0,0,40545620.25,0,0
AT2G07340.1,0,0,0,0,0,51245689.46
AT2G07360.1,0,0,0,0,82544930,0
AT2G09990.1,0,15330009.06,134783832.8,288643799.2,793253912,825052141.8
AT2G10940.1,118240196.6,141286501.1,852736723.8,408693327.7,4808703744,0
AT2G11000.1,0,0,0,0,35660768,0
AT2G11890.1,0,0,0,0,27959254,25324993.04
AT2G12190.1,0,0,0,0,0,39582513.93
AT2G13360.1,497256431.8,310060254.1,13838322232,10594877052,18081627304,16081669237
AT2G13370.1,0,24267768.62,0,0,0,0
AT2G13540.1,0,0,0,0,109522144,151883653.5
AT2G13560.1,0,6888955.937,19850105507,16922740984,800977657,978634393.9
AT2G14120.1,0,0,46705167.4,116192280.9,35006160,84578868.7
AT2G14170.1,7381655.881,7709235.134,11578205570,8705847333,536244726.8,645251743.9
AT2G14260.1,140038227.4,23075491.92,0,0,870062594,628765694
AT2G14610.1,0,0,21057914.52,0,1506878584,0
AT2G14720.1,0,0,0,0,412487981,386397050.8
AT2G14750.1,64151658.05,352067181.9,0,0,290673602,226409251.9
AT2G14835.1,0,0,57908376.26,42249189.57,0,0
AT2G14880.1,37076480.58,68367234.35,38366841.98,0,12227822,0
AT2G15020.1,0,0,36177458.55,43507709.51,0,0
AT2G15050.1,0,18698128.68,0,0,0,75142680.46
AT2G15290.1,586681280,368495914.1,26334951.49,0,655066832,819172153.6
AT2G15320.1,0,0,0,0,15803501,0
AT2G15430.1,0,0,15835715.82,67281321.44,0,0
AT2G15570.1,34061019.63,0,0,0,0,0
AT2G15620.1,5043006744,1128965861,0,0,4092888490,1903368140
AT2G15690.1,0,0,0,125734648.5,0,0
AT2G15860.1,0,0,0,0,0,10997258.22
AT2G15890.1,190897143.6,373656827.9,0,0,0,47000682.83
AT2G15970.1,0,0,1701937451,0,47243576,0
AT2G16070.1,18711851.06,10402204.39,0,0,0,0
AT2G16270.1,0,0,61619438.18,0,0,0
AT2G16460.1,0,0,1108187708,1170538584,0,26200173.55
AT2G16485.1,0,0,0,0,5919991,0
AT2G16595.1,0,0,0,0,23591560,41701027.54
AT2G16600.1,6307387.639,20459533.41,1514165673,1647922884,4143741000,6160812670
AT2G16640.1,0,12179106.03,0,0,0,0
AT2G16710.1,0,0,323363346.3,204908221.8,0,0
AT2G16780.1,0,0,0,0,83326752,105151093.9
AT2G16930.1,0,0,222724397,347579510.9,0,0
AT2G16950.1,0,0,0,0,669600912,382971321.5
AT2G17120.1,0,0,101392939.2,133128131.1,503996418,262493265.2
AT2G17130.1,0,0,5667670267,4430946571,0,120536747.7
AT2G17140.1,0,0,0,0,0,29253719.73
AT2G17200.1,0,0,0,0,308936820,62989022.05
AT2G17265.1,532812194.9,164502488.8,0,0,472326245,351753009.8
AT2G17280.1,0,0,0,0,0,14274924.87
AT2G17340.1,0,0,0,0,533300796,346728472.5
AT2G17380.1,0,0,0,0,0,145440768.6
AT2G17390.1,0,0,0,33638763.32,431301256,273281194.7
AT2G17410.1,0,0,21732332.45,0,0,0
AT2G17420.1,0,0,121317655.7,0,374385712,362117876.7
AT2G17630.1,17547467.73,0,0,0,0,16517456.56
AT2G17650.1,0,0,1696833913,952942132.9,0,49636205.08
AT2G17695.1,364812940.5,210724530.9,87493236.35,84662347.51,191544480,150482157.9
AT2G17720.1,0,0,75933997.75,100109793.2,46296244,0
AT2G17790.1,0,0,0,0,83835162,93614037.58
AT2G17840.1,0,0,304384688.7,162847462,2402071776,1300717038
AT2G17870.1,0,0,0,0,90332488,85438395.29
AT2G17930.1,0,0,15631789.75,61791327.2,0,0
AT2G17972.1,528686276.2,630293851.9,0,0,208707086,170045501.2
AT2G17980.1,0,0,26846412269,64461477.01,1133934752,150511932.5
AT2G18020.1,14083028.57,0,243019399.8,241531764.9,937992504,837650455.2
AT2G18030.1,0,0,12076259.7,0,0,0
AT2G18040.1,0,0,173662689.8,127099572.4,247311737,163303424.6
AT2G18050.1,0,4488188.396,54455015.72,0,0,0
AT2G18080.1,0,0,0,0,72738704,92932630.62
AT2G18110.1,0,0,0,48261683.59,324932728,313492839.3
AT2G18210.1,0,0,107282477.1,112929391,0,0
AT2G18230.1,0,0,0,0,139921616,803416293.3
AT2G18250.1,0,0,0,0,41683696,0
AT2G18330.1,0,0,1837349550,1944766492,0,0
AT2G18400.1,0,0,0,38875009.04,0,0
AT2G18660.1,28787858.74,103709939.1,183434500.2,167410657.8,314114044,0
AT2G18690.1,0,0,0,0,334332384,0
AT2G18710.1,1637523384,1371496460,0,0,213003152,403405632.3
AT2G18750.1,0,0,134332750.3,0,0,0
AT2G18770.1,0,0,147217655.9,243741130.2,0,0
AT2G18960.1,0,0,986818243.5,949301882.4,1995653237,2218109985
AT2G19080.1,0,0,2430406943,2901629327,0,0
AT2G19330.1,119901886.6,82430899.92,0,0,0,0
AT2G19480.1,0,0,43348681.94,0,668293120,116213870.9
AT2G19490.1,0,0,219166556.2,137709991.3,0,0
AT2G19520.1,0,10667404.99,155599012.2,89377609.7,131863768,168694218.3
AT2G19570.1,0,0,0,0,35100700,0
AT2G19680.1,0,0,9482854360,8984652896,209541776,651806065.8
AT2G19730.1,20936643.82,52581460.45,661830701.3,537116467.6,1775782380,2228880939
AT2G19740.1,0,0,0,0,0,133536832
AT2G19760.1,0,0,0,0,996122188,603596031.1
AT2G19790.1,0,0,0,0,51895952,0
AT2G19860.1,0,0,11078768136,9889436355,241973447.7,562666821.6
AT2G19870.1,26199617.45,0,0,0,0,0
AT2G19900.1,0,0,0,0,0,119878140.9
AT2G19940.1,2130074479,815371808.5,0,0,2569521376,3340464963
AT2G19950.1,0,0,36592550.07,0,0,0
AT2G20050.1,0,0,33344971.32,0,0,0
AT2G20060.1,0,0,709703167,529116627,17620332,19358176.07
AT2G20120.1,0,0,0,0,0,10077122.63
AT2G20140.1,0,0,65724016.23,0,1486319392,845860845.2
AT2G20190.1,0,0,0,0,34278568,0
AT2G20230.1,0,0,36246535.96,0,423065444,270168685.5
AT2G20260.1,19464534647,36562883669,1560533123,254413217,10042756780,6653469000
AT2G20270.1,395419902.1,0,514485035.9,318379747.2,130362072,166745016.1
AT2G20280.1,0,0,0,0,23647263,0
AT2G20360.1,0,0,46434134934,50533511004,1688488849,2852149249
AT2G20390.1,0,0,301445007.7,82897815.16,0,0
AT2G20420.1,10658371.78,36718221.45,95986576299,79433018158,5099457090,6629280856
AT2G20450.1,0,0,902619446.8,329403702.1,798918144,249527786
AT2G20490.1,0,0,0,0,31982844,0
AT2G20530.1,0,0,5893647114,4934141784,81849376,311934527.5
AT2G20580.1,0,0,0,0,1079196560,1053804905
AT2G20610.1,26656223.91,0,0,0,673919864,351351530.8
AT2G20630.1,0,0,68015808.78,40847516.04,756355225.3,409737101.7
AT2G20690.1,1620413167,540617355.5,0,0,731777596,1532096699
AT2G20760.1,0,0,162449398.7,131141749.8,619236052,394002678
AT2G20810.1,0,0,0,13844167.91,0,0
AT2G20820.1,0,0,85954236.89,0,0,96445678.25
AT2G20830.1,0,0,267809643.2,207019523.3,0,0
AT2G20860.1,0,0,1016391931,1138231827,0,0
AT2G20890.1,11641209192,8105010836,1950895021,1056303716,7963249234,6269439962
AT2G20900.1,0,0,0,0,26534760,0
AT2G20920.1,315906693.8,117123672.9,0,0,0,36399916.36
AT2G20940.1,0,0,108948920.2,352472457.7,0,0
AT2G20990.1,0,6455542.99,1586759483,938792556.5,1727099276,1772542293
AT2G21130.1,0,0,0,0,0,108613575.5
AT2G21160.1,0,50632717.98,702349587.8,554583682,530415728,537051303
AT2G21170.1,12640018049,3089032290,79321015.08,75655095.72,9671163659,13914235945
AT2G21190.1,0,0,0,0,0,18483092.19
AT2G21250.1,0,0,0,0,576594984,584195817.2
AT2G21270.1,0,0,0,0,53172736,45013262.71
AT2G21280.1,661417575,207690116.9,1390438899,0,476856976,1021828929
AT2G21330.1,19642896513,9611423020,311695583.7,282310035.9,17925828384,18841584621
AT2G21340.1,49226985.3,0,0,0,27552694,38212682.61
AT2G21370.1,135258311.1,0,0,0,79155488.5,404810446.6
AT2G21385.1,1003721084,115863011.5,0,0,516344404.9,772744906.5
AT2G21390.1,0,0,0,23170224.79,337049708,290247113.4
AT2G21410.1,0,0,18260575.23,0,227678618,158910178.2
AT2G21480.1,127328653,0,0,0,0,0
AT2G21520.1,213373385.5,440608446.1,0,117418724.8,139659004,176569722
AT2G21530.1,3297508928,719343513.7,0,0,1478856279,2106763215
AT2G21580.1,0,0,219613715.1,0,74310800,130810362.4
AT2G21600.1,0,0,80301263.49,59691794.49,0,0
AT2G21620.1,0,0,0,0,905256808,714028898.6
AT2G21640.1,0,0,39497951.06,72023255.37,0,0
AT2G21660.1,143582087.9,253074390.5,2073459909,2915920026,2920922576,5021636294
AT2G21710.1,0,41471599.45,0,0,0,0
AT2G21860.1,218544291.1,80260305.72,0,0,94334194,130444299.2
AT2G21870.1,0,167173809,78112421297,81009482216,4716574288,9137586805
AT2G21960.1,2266852095,4056538977,0,0,862054788,1497814662
AT2G22125.1,0,0,0,0,62392924,0
AT2G22170.1,0,63595835.8,35656391.76,0,1629647616,1564191324
AT2G22230.1,2079534268,638855980.6,51968499.27,53987387.76,505666855,119338813.1
AT2G22250.1,314772237.5,36095485.77,0,0,289443380,130660780.6
AT2G22300.1,0,5307221.955,0,0,0,0
AT2G22360.1,125989182.2,227623147.5,0,0,43100728,0
AT2G22400.1,0,0,0,0,0,34798409.25
AT2G22420.1,0,0,0,0,0,80571204.61
AT2G22425.1,0,0,0,0,91914008,43065520.64
AT2G22450.1,151141664.9,10141614.4,0,0,0,0
AT2G22475.1,0,0,0,0,28101224,0
AT2G22480.1,301545998.2,258580776.8,0,0,206437484,453645794.9
AT2G22500.1,0,0,5722851759,5305901252,269152808,0
AT2G22540.1,0,0,0,0,0,2369276.861
AT2G22570.1,0,0,0,0,0,14300498.3
AT2G22680.1,0,0,0,73031791.63,0,0
AT2G22780.1,0,0,1164847481,707477746.9,1396544080,1368177868
AT2G22870.1,23426408.48,0,0,0,0,0
AT2G22970.1,0,0,0,0,127121660,138176394.5
AT2G22990.1,0,0,0,0,125352168,0
AT2G23010.1,0,0,0,0,0,27781502.36
AT2G23090.1,0,0,27351104.9,0,22609740,15678263.94
AT2G23120.1,0,0,125663095.9,42024511.17,194509413,127714889.9
AT2G23310.1,0,0,201476122.5,205425603.5,0,0
AT2G23350.1,0,0,0,37542697.01,270562376,166708769.4
AT2G23360.1,0,0,0,277534121.9,0,0
AT2G23370.1,0,0,987393385.2,1107508673,0,0
AT2G23390.1,0,0,0,0,0,29017888.9
AT2G23600.1,0,0,0,76722081.78,1092206528,1637220807
AT2G23610.1,0,0,0,0,83496980,110414656.1
AT2G23670.1,2405718088,6881025231,0,0,1713772992,1899329187
AT2G23810.1,0,0,0,0,147224944,0
AT2G23820.1,0,0,427069703.2,193564613.8,68344960,0
AT2G23890.1,0,0,37646875.89,0,0,0
AT2G23930.1,0,0,0,0,75713208,163855685.7
AT2G24020.1,538050396.2,23210630.68,0,0,1007612714,613423019.6
AT2G24060.1,396398775.2,6977610.307,0,0,123176756,111242084.6
AT2G24090.1,800712299.8,173333615.3,0,0,0,109949470.7
AT2G24180.1,0,0,33347316.47,41794573.32,72649500,79702397.33
AT2G24200.1,0,0,0,103739746.1,3420931200,4137435800
AT2G24270.1,0,8862788.064,196497558.1,87729500.96,3245837944,3388211609
AT2G24280.1,0,14843464.51,135736084.7,0,422987032,466096553.5
AT2G24390.1,0,0,0,0,85007598,74932638.85
AT2G24420.1,0,0,267558059.6,258367154.6,565194994,1092088717
AT2G24590.1,0,0,161830559.6,195471008.2,145242288,0
AT2G24765.1,0,0,0,0,28918362,287903786.8
AT2G24820.1,1206873687,1066986213,1799487836,757896883.1,2166835192,1813602401
AT2G24940.1,22746774.01,45302330.42,290780395.7,137808908.9,1623840448,3997550132
AT2G25060.1,0,0,0,0,130378940,40021910.08
AT2G25070.1,0,0,0,0,226765940,92424271.36
AT2G25080.1,4546361641,1078996311,1417054773,1160857481,2343483116,2902152956
AT2G25110.1,0,0,56109406.74,126261605.5,61262070,0
AT2G25140.1,0,0,111779839.7,35144404.21,0,0
AT2G25310.1,0,0,38910521.62,0,124306520,137087895.6
AT2G25430.1,0,0,0,0,0,17388621.59
AT2G25450.1,0,0,31887957.79,127138961.7,774814496,115829339.7
AT2G25530.1,0,0,151846995.5,51674306.37,0,0
AT2G25570.1,0,0,122682622.1,46714509.69,0,0
AT2G25830.1,364445619.1,29880259.8,1392189341,1263368780,255627728,360591514.7
AT2G25840.1,519643070.5,0,682682213.3,463841293.2,545917028,364489961.1
AT2G25870.1,27576944.52,0,63467253.08,34004734.53,37250668,0
AT2G25910.1,0,0,0,0,0,13052937.14
AT2G25950.1,0,0,0,0,77360704,67061008.9
AT2G25970.1,0,0,0,0,321465016,448469532.3
AT2G26060.1,0,0,0,0,34788218,96037422.44
AT2G26080.1,14748911.91,0,55452129597,50789542164,1581732736,3059408929
AT2G26100.1,0,0,130495152.2,134618406.4,0,0
AT2G26140.1,0,0,4028350193,2140625962,11224753,25657769.71
AT2G26210.1,0,0,0,0,140853640,87552279.29
AT2G26230.1,0,0,1056717451,583096784.6,158097556,91240096.75
AT2G26240.1,0,0,77943437.12,35456466.88,15840762.94,14440232.63
AT2G26250.1,0,0,0,0,15405179,0
AT2G26280.1,0,0,0,0,31405476,0
AT2G26340.1,1275555768,1389195851,0,0,362799756,401155965
AT2G26380.1,0,0,0,0,0,85459404.61
AT2G26500.1,0,0,0,0,79728440,0
AT2G26540.1,155071816.6,0,0,0,82850477,45133495.08
AT2G26550.1,0,13153286,0,0,0,0
AT2G26560.1,0,0,0,0,0,25244612.66
AT2G26570.1,0,0,0,0,88419138,0
AT2G26670.1,817057295.7,74225153.44,0,0,470983488,431096642.6
AT2G26730.1,0,0,27937234.31,0,358201528,354249420.4
AT2G26740.1,0,0,0,0,953009632,578661477.6
AT2G26780.1,0,0,0,0,12810567,0
AT2G26800.1,0,0,4608315376,3853831287,59684816,130304940.7
AT2G26830.1,0,0,0,0,0,53498654.95
AT2G26890.1,0,0,0,0,0,12735649.04
AT2G26900.1,1198059267,532490127.2,94467253.04,0,1097750944,1137070084
AT2G26930.1,536636667.5,79689890.9,0,0,220808170,218121038.9
AT2G26975.1,0,0,0,0,30474892,0
AT2G27020.1,0,50012117.08,55161165.82,17885979.93,1408087312,1655400860
AT2G27140.1,0,0,0,0,0,14263696.57
AT2G27150.1,0,0,0,0,0,0
AT2G27170.1,0,0,22597667.23,0,0,0
AT2G27190.1,0,0,0,0,36078028,0
AT2G27290.1,531411648.9,705276488.3,0,0,140506120,0
AT2G27330.1,0,0,56957142.72,0,0,0
AT2G27420.1,0,0,0,0,0,162569934.6
AT2G27450.1,0,0,0,0,0,91315523.28
AT2G27460.1,0,0,0,0,0,74170318.99
AT2G27490.1,0,0,0,75840777.62,0,0
AT2G27510.1,35660618.61,0,0,0,0,0
AT2G27530.1,0,18203578.19,280680073.8,169981833.4,1432178402,1360019426
AT2G27600.1,0,0,58123523.36,63062469.82,231057850,73446405.96
AT2G27680.1,3046421656,673798766.6,124542509.4,0,1602032857,2834429826
AT2G27710.1,0,14597387.62,80918802.61,0,1776359000,1404137143
AT2G27720.1,0,0,15918096.85,0,2418646052,1611476777
AT2G27730.1,0,27068641.09,24966520841,29460517588,1807277460,2315286606
AT2G27820.1,45949126.75,0,0,0,0,47728598.72
AT2G27860.1,0,0,0,0,227006480,295164516.9
AT2G27920.1,0,0,0,0,21560618,91055455.72
AT2G28000.1,29623699674,6511319570,396676179.3,322575287.9,20521257339,19961503147
AT2G28100.1,0,0,0,0,269087530,44380896.1
AT2G28190.1,12957075862,2749041889,140776380.7,0,6505917859,7233991413
AT2G28305.1,0,49050815.16,0,0,0,0
AT2G28430.1,0,0,4930880681,4884180039,0,0
AT2G28470.1,0,0,0,0,582745896,477776892.5
AT2G28520.1,0,0,334072340.3,238878944.6,0,0
AT2G28605.1,148909107.3,92696425.3,0,0,94801788,0
AT2G28720.1,0,0,2573380649,2901168557,0,392808481.8
AT2G28790.1,80983623.02,22288452.93,203862363.4,283686068,0,0
AT2G28800.1,1368235158,1858786105,0,0,319039216,140592963.8
AT2G28900.1,6534991744,6647758067,11946351594,12994462512,8484188742,13042671920
AT2G28950.1,33073306.62,110091024.3,0,0,0,260054268.3
AT2G29080.1,0,0,1596531828,1416158062,0,24479215.69
AT2G29320.1,0,0,0,0,53407376,156206569
AT2G29340.1,0,0,0,0,278932684,108673425.4
AT2G29350.1,0,0,0,0,88217992,0
AT2G29360.1,0,0,0,0,46641596,58900410.7
AT2G29420.1,0,0,0,0,298607348,789475170.5
AT2G29450.1,0,0,0,0,1859678440,1712806942
AT2G29530.1,0,0,4931125804,2903188960,0,0
AT2G29550.1,0,0,0,0,61106748,50819688.26
AT2G29560.1,0,0,71137514.16,0,23259486,0
AT2G29570.1,0,0,0,0,294466046,192071654
AT2G29630.1,286770365.3,0,0,0,378895507,126799906.8
AT2G29650.1,0,57564544.2,0,0,24655162,0
AT2G29690.1,142283295.5,35442002.13,0,0,183311752,153967264.7
AT2G29700.1,0,0,85708883.24,78690461.11,87397758,66041254.08
AT2G29720.1,34449478.54,237141847.2,2819420759,1815982156,101323728,66584584.48
AT2G29960.1,0,0,318778522.3,350635984.1,194195888,461026400.9
AT2G29970.1,0,0,0,0,200285456,263652169.2
AT2G29990.1,0,0,1105170699,1032727758,0,0
AT2G30000.1,0,0,16979362.53,0,0,0
AT2G30050.1,0,0,10368074.89,0,101991109,26093814.97
AT2G30060.1,0,0,0,0,297319500,236947891.2
AT2G30110.1,0,0,16649150.15,0,829421702.5,700084702.9
AT2G30140.1,0,0,0,0,221497236,0
AT2G30170.1,394067689.1,0,0,0,571496640,621714048.9
AT2G30200.1,1403325967,127093230.7,540152297.7,257970150.9,928340692,517753826.1
AT2G30330.1,0,0,0,0,14015313,0
AT2G30390.1,112324714.6,363372210.1,0,0,92334000,190729819.3
AT2G30410.1,0,0,0,0,206900440,251486299
AT2G30490.1,0,0,0,30714954.87,325574234,325809141.7
AT2G30520.1,0,0,0,0,109277004,0
AT2G30620.1,49921819.02,380695890.6,14111797809,12396932561,420177040,293344466.9
AT2G30695.1,1004771938,168831194.4,0,0,622015648,890158013.4
AT2G30720.1,0,0,832749822.6,921372560.5,0,0
AT2G30740.1,0,0,0,0,55023500,0
AT2G30860.1,1426731546,609126333.9,1932217751,1887077130,19248715814,22557359297
AT2G30870.1,75570211.75,31488170.93,21858177.77,197482781.3,6537525098,8758792056
AT2G30880.1,0,0,0,0,15755798,0
AT2G30920.1,0,0,0,249783290.2,0,0
AT2G30930.1,25237464.15,46544526.61,725493830.5,1147319648,1901231288,1169992053
AT2G30950.1,15380708093,24288895493,550516921.8,682226645.6,6616321840,5497365064
AT2G30970.1,0,0,45272066843,31814154972,2107634181,3664138572
AT2G31040.1,266601851.3,259674904.5,0,0,0,0
AT2G31060.1,0,0,712079833.6,1171955271,0,0
AT2G31140.1,0,0,646513911,950195867.5,35672420,0
AT2G31170.1,90022995.62,0,1177522681,162970756.2,24754326,146735600.7
AT2G31190.1,22657458.43,0,0,0,0,0
AT2G31240.1,0,39635429.3,98285618.3,55543769.03,0,0
AT2G31340.1,0,0,523712700.8,303886266.1,0,0
AT2G31350.1,0,0,31337739.76,38863538.12,0,0
AT2G31390.1,0,0,0,0,580655476,319454567.1
AT2G31490.1,0,0,6461783382,6155011129,0,0
AT2G31570.1,0,0,1259886806,565795951.8,547177024,870421661
AT2G31610.1,0,12893518.61,78768555.14,0,853586784,914208464.3
AT2G31660.1,0,0,0,0,90468872,0
AT2G31670.1,766918164.2,245636175.8,1196379177,488014909.6,1588913252,1023148208
AT2G31710.1,0,0,0,0,17813998,0
AT2G31725.1,0,0,1237844770,1020882979,0,0
AT2G31750.1,0,0,0,0,0,35773190.75
AT2G31790.1,0,0,0,0,162803512,147946601.7
AT2G31810.1,474171435.2,164141083.2,0,0,120361234,0
AT2G31880.1,0,0,92822263,0,128964634,0
