Protein,Cp1_noPF,Cp2_noPF,Mt1_noPF,Mt2_noPF,Lf1_noPF,Lf2_noPF
AT1G53120.1,12112266.61,0,0,25815730.08,0,0
AT1G53210.1,15685703.87,8909542.42,663547544,405248534.1,1956802672,1428290471
AT1G53240.1,87249788.93,52608262.58,63022052823,51960679295,3201649632,3587669138
AT1G53280.1,346227237,189467634.1,0,16302311.1,1306781140,1927045564
AT1G53310.1,0,0,69223195.13,48072476.52,1341941187,1837606649
AT1G53400.1,0,0,0,0,21730258,26200824.19
AT1G53430.1,0,0,12026365.36,12370930.06,0,14167158.73
AT1G53440.1,0,0,19533151.65,0,0,0
AT1G53460.1,0,0,86694672.06,61171664.06,0,0
AT1G53500.1,0,0,0,0,0,42006764.16
AT1G53520.1,114533130.9,41317677.2,0,0,140379240,133992783.9
AT1G53530.1,0,0,0,139487592.4,0,0
AT1G53580.1,0,0,1843670745,669969795.6,918089712,609770903.4
AT1G53645.1,0,0,324318005.8,415245378.2,0,0
AT1G53670.1,314492264.7,0,85869269.82,0,49743176,66504476.81
AT1G53750.1,0,0,41471177.95,0,1452621774,1233562290
AT1G53760.1,0,0,1337583257,1169713876,0,0
AT1G53840.1,0,0,0,0,0,35887286.1
AT1G53850.1,0,0,50520879.08,47727266.83,1902639168,1977404569
AT1G54010.1,0,0,0,0,60057464,0
AT1G54030.1,0,0,0,0,132820240,0
AT1G54060.1,0,0,265405237.6,335234798.3,0,0
AT1G54100.1,0,0,0,0,437653696,1123267553
AT1G54150.1,0,0,73542098.21,64516068.78,0,0
AT1G54220.1,0,0,10813929631,10412006871,145407428,114683553.7
AT1G54270.1,0,0,315780911.1,252724621.3,238983616,752444601
AT1G54290.1,0,0,122212139.2,91071480.66,65250484,0
AT1G54340.1,0,0,42800737.69,0,0,0
AT1G54350.1,136827946.5,150816497.2,0,0,41817876,175905912.3
AT1G54410.1,0,497834999.1,1118410833,2662071602,1786945504,1093374649
AT1G54500.1,1738630881,2223591453,0,0,530859450,545906144.7
AT1G54520.1,347667556.9,361268709.2,0,0,149757228,44783345.57
AT1G54570.1,16845074.43,67509980.89,0,0,0,36771964.17
AT1G54630.1,0,0,0,0,0,225033313.7
AT1G54690.1,0,0,92099905.88,0,0,0
AT1G54780.1,27846466932,62546117834,1299412926,879511150.7,20573600427,15396479588
AT1G54990.1,0,0,0,56615809.82,180308204,297360771.8
AT1G55090.1,0,0,0,0,19621004,37055478.25
AT1G55120.1,0,0,0,0,23668800,0
AT1G55160.1,0,0,8098949849,6966849916,526844400,675910422.8
AT1G55210.1,0,0,0,0,353106048,547050877.5
AT1G55260.1,0,0,0,0,849329136,383363927.7
AT1G55280.1,0,22123190.34,0,0,0,0
AT1G55370.1,0,5976099.269,0,0,0,0
AT1G55450.1,31355852.16,0,1905198329,1211971687,247357848,308501926.9
AT1G55480.1,9271324938,4632765093,126475764.3,105525572.6,7208487142,7970136563
AT1G55490.1,6091262855,1334354181,158177904.6,21845320.93,3036601964,3015751268
AT1G55510.1,0,0,44411294.81,0,0,0
AT1G55540.1,0,0,0,0,43200152,0
AT1G55670.1,43674376865,76688871364,5303198123,4945548319,25751716398,15574010274
AT1G55805.1,2309731517,0,303096250.7,261147908.4,0,0
AT1G55830.1,0,109521886.6,0,0,0,58864984.32
AT1G55850.1,0,0,0,0,0,35532814.05
AT1G55890.1,0,0,3301995207,2732925836,48904250,0
AT1G55900.1,0,0,1268363894,1573644172,17001376,0
AT1G55910.1,0,0,0,0,37251168,31544475.79
AT1G55930.1,0,5258331.13,0,0,0,0
AT1G56000.1,0,0,558114376.2,213377373.5,70445748,70185633.31
AT1G56050.1,405891738.2,101869112.7,1047711385,644315693.8,519690028,326191086.4
AT1G56070.1,76443808.63,214393243.2,8774662065,10695466372,27718254836,23660233453
AT1G56110.1,0,0,0,0,165660880,673406724.2
AT1G56130.1,0,0,0,0,43924904,0
AT1G56180.1,0,0,0,0,0,19461721.67
AT1G56190.1,3693140248,811455258.2,0,0,2871408630,3458317648
AT1G56200.1,71232908.16,46830899.79,0,0,0,0
AT1G56330.1,0,0,0,0,0,238218994.5
AT1G56340.1,6700586.539,21188924.13,193033409.9,224135066.9,2555926136,1814476506
AT1G56450.1,0,0,0,0,306423704,206014874.7
AT1G56500.1,5050304282,7244515360,0,0,1942982469,1725605572
AT1G56560.1,0,0,2698960745,2683965325,0,0
AT1G57540.1,0,0,0,140266457.1,0,0
AT1G57590.1,0,0,0,0,0,47762880.3
AT1G57610.1,0,0,1691072953,1551994586,0,0
AT1G57720.1,0,0,511567995.9,0,3819702074,3058729591
AT1G57770.1,443224629.3,41486155.7,0,0,157091612,613075927.9
AT1G57990.1,0,0,0,0,23454328,0
AT1G58080.1,156642468.3,0,0,0,76392380,33038604.35
AT1G58180.1,0,0,182057611.7,0,0,0
AT1G58270.1,19783624.27,37458223,660741593.4,508397797,563412656,291460032
AT1G58290.1,595128902.9,162967976.8,0,0,33972832,35190894.39
AT1G58380.1,0,0,0,59203680.03,828356068,969964813
AT1G59610.1,0,0,117351974.3,115433675,414093388,494799065.4
AT1G59700.1,0,0,0,0,191872944,275441761.3
AT1G59840.1,377794001.8,329650388.5,0,0,0,120340925.6
AT1G59870.1,0,0,4072220017,3960000931,3170987870,3978130003
AT1G59900.1,0,0,44753369095,38325576734,1621998244,1892367219
AT1G59910.1,0,0,62983693.39,0,0,0
AT1G59990.1,55976681.6,0,0,0,0,0
AT1G60000.1,92356436.26,0,0,0,67282920,181852430.7
AT1G60070.1,0,0,0,0,52441204,0
AT1G60420.1,0,0,0,0,112510656,37299309.98
AT1G60550.1,0,0,98222138.66,166597693.2,44150052,33568458.22
AT1G60710.1,0,0,0,0,685323322,323566658.3
AT1G60770.1,0,0,1385270288,1491208285,0,0
